home_elo,away_elo,elo_diff,elo_sum,home_form_points,home_form_points_avg,home_form_goals_scored,home_form_goals_scored_avg,home_form_goals_conceded,home_form_goals_conceded_avg,home_form_goal_diff_avg,home_form_wins,home_form_draws,home_form_losses,home_form_win_rate,home_matches_played,away_form_points,away_form_points_avg,away_form_goals_scored,away_form_goals_scored_avg,away_form_goals_conceded,away_form_goals_conceded_avg,away_form_goal_diff_avg,away_form_wins,away_form_draws,away_form_losses,away_form_win_rate,away_matches_played,form_diff,goals_scored_diff,goals_conceded_diff,h2h_matches,h2h_wins_team1,h2h_draws,h2h_wins_team2,h2h_goals_team1,h2h_goals_team2,h2h_goals_avg_team1,h2h_goals_avg_team2,h2h_win_rate_team1,tournament_importance,is_world_cup,is_knockout,same_confederation,home_conf_strength,away_conf_strength,home_score,away_score,total_goals,goal_diff,outcome,outcome_code,match_date,home_team,away_team,tournament
1870,1500,370,3370,12,1.2,12.0,1.2,14.0,1.4,-0.2,3,3,4,0.3,10,16,1.6,20.0,2.0,7.0,0.7,1.3,4,4,2,0.4,10,-0.40000000000000013,-0.8,0.7,10,8,2,0,17.0,4.0,1.7,0.4,0.9,0.3,0,0,1,0.4,0.4,1,0,1,1,home_win,0,2010-01-02,Iran,North Korea,Friendly
1710,1500,210,3210,10,1.0,12.0,1.2,14.0,1.4,-0.2,2,4,4,0.2,10,18,1.8,17.0,1.7,9.0,0.9,0.8,5,3,2,0.5,10,-0.8,-0.5,0.4999999999999999,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.4,0.45,0,0,0,0,draw,1,2010-01-02,Qatar,Mali,Friendly
1500,1500,0,3000,18,1.8,12.0,1.2,7.0,0.7,0.5,5,3,2,0.5,10,13,1.3,13.0,1.3,15.0,1.5,-0.2,3,4,3,0.3,10,0.5,-0.10000000000000009,-0.8,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.4,0.45,6,0,6,6,home_win,0,2010-01-02,Syria,Zimbabwe,Friendly
1500,1500,0,3000,11,1.1,10.0,1.0,21.0,2.1,-1.1,3,2,5,0.3,10,15,1.5,15.0,1.5,13.0,1.3,0.2,4,3,3,0.4,10,-0.3999999999999999,-0.5,0.8,1,1,0,0,2.0,1.0,2.0,1.0,1.0,0.3,0,0,1,0.4,0.4,0,1,1,-1,away_win,2,2010-01-02,Yemen,Tajikistan,Friendly
1500,1500,0,3000,12,1.2,7.0,0.7,7.0,0.7,0.0,2,6,2,0.2,10,17,1.7,10.0,1.0,5.0,0.5,0.5,4,5,1,0.4,10,-0.5,-0.30000000000000004,0.19999999999999996,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,1,0.45,0.45,1,1,2,0,draw,1,2010-01-03,Angola,Gambia,Friendly
1500,1500,0,3000,13,1.3,12.0,1.2,14.0,1.4,-0.2,4,1,5,0.4,10,22,2.2,24.0,2.4,8.0,0.8,1.6,6,4,0,0.6,10,-0.9000000000000001,-1.2,0.5999999999999999,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,0,0.45,0.3,0,1,1,-1,away_win,2,2010-01-04,Tanzania,Ivory Coast,Friendly
1800,1500,300,3300,20,2.0,20.0,2.0,9.0,0.9,1.1,6,2,2,0.6,10,16,1.6,13.0,1.3,9.0,0.9,0.4,4,4,2,0.4,10,0.3999999999999999,0.7,0.0,8,3,1,4,7.0,8.0,0.875,1.0,0.4375,0.3,0,0,1,0.45,0.45,1,0,1,1,home_win,0,2010-01-04,Egypt,Mali,Friendly
1755,1500,255,3255,17,1.7,17.0,1.7,11.0,1.1,0.6,5,2,3,0.5,10,14,1.4,11.0,1.1,9.0,0.9,0.2,4,2,4,0.4,10,0.30000000000000004,0.5999999999999999,0.20000000000000007,0,0,0,0,0.0,0.0,,,0.5,0.3,0,0,1,0.45,0.45,0,0,0,0,draw,1,2010-01-05,Ghana,Malawi,Friendly
1500,1500,0,3000,18,1.8,18.0,1.8,9.0,0.9,0.9,5,3,2,0.5,10,13,1.3,25.0,2.5,19.0,1.9,0.6,4,1,5,0.4,10,0.5,-0.7,-0.9999999999999999,3,2,0,1,7.0,3.0,2.3333333333333335,1.0,0.6666666666666666,0.75,0,0,1,0.4,0.4,4,0,4,4,home_win,0,2010-01-06,Bahrain,Hong Kong,AFC Asian Cup qualification
1500,1500,0,3000,11,1.1,10.0,1.0,16.0,1.6,-0.6,3,2,5,0.3,10,20,2.0,19.0,1.9,7.0,0.7,1.2,6,2,2,0.6,10,-0.8999999999999999,-0.8999999999999999,0.9000000000000001,2,1,0,1,2.0,4.0,1.0,2.0,0.5,0.3,0,0,1,0.45,0.45,1,0,1,1,home_win,0,2010-01-06,Benin,Libya,Friendly
1500,1500,0,3000,19,1.9,19.0,1.9,11.0,1.1,0.8,5,4,1,0.5,10,18,1.8,16.0,1.6,7.0,0.7,0.9,5,3,2,0.5,10,0.09999999999999987,0.2999999999999998,0.40000000000000013,4,3,0,1,10.0,5.0,2.5,1.25,0.75,0.75,0,0,1,0.4,0.4,0,0,0,0,draw,1,2010-01-06,China PR,Syria,AFC Asian Cup qualification
1500,1500,0,3000,17,1.7,17.0,1.7,11.0,1.1,0.6,5,2,3,0.5,10,15,1.5,6.0,0.6,8.0,0.8,-0.2,5,0,5,0.5,10,0.19999999999999996,1.1,0.30000000000000004,3,1,1,1,4.0,3.0,1.3333333333333333,1.0,0.5,0.3,0,0,1,0.45,0.45,2,0,2,2,home_win,0,2010-01-06,Gabon,Mozambique,Friendly
1500,1500,0,3000,9,0.9,11.0,1.1,11.0,1.1,0.0,2,3,5,0.2,10,13,1.3,12.0,1.2,11.0,1.1,0.1,4,1,5,0.4,10,-0.4,-0.09999999999999987,0.0,2,0,1,1,0.0,1.0,0.0,0.5,0.25,0.75,0,0,1,0.4,0.4,1,2,3,-1,away_win,2,2010-01-06,Indonesia,Oman,AFC Asian Cup qualification
