team,elo_rating,scraped_date,is_estimated
Argentina,2070,2024-12-01,False
France,2050,2024-12-01,False
Spain,2045,2024-12-01,False
England,2025,2024-12-01,False
Brazil,2015,2024-12-01,False
Germany,1995,2024-12-01,False
Portugal,1990,2024-12-01,False
Netherlands,1985,2024-12-01,False
Belgium,1975,2024-12-01,False
Italy,1970,2024-12-01,False
Croatia,1960,2024-12-01,False
Colombia,1945,2024-12-01,False
Uruguay,1940,2024-12-01,False
Morocco,1930,2024-12-01,False
USA,1910,2024-12-01,False
Mexico,1905,2024-12-01,False
Switzerland,1900,2024-12-01,False
Japan,1895,2024-12-01,False
Senegal,1880,2024-12-01,False
South Korea,1875,2024-12-01,False
Iran,1870,2024-12-01,False
Australia,1855,2024-12-01,False
Ecuador,1850,2024-12-01,False
Austria,1845,2024-12-01,False
Ukraine,1840,2024-12-01,False
Poland,1835,2024-12-01,False
Turkey,1830,2024-12-01,False
Denmark,1825,2024-12-01,False
Serbia,1820,2024-12-01,False
Canada,1815,2024-12-01,False
Sweden,1810,2024-12-01,False
Algeria,1805,2024-12-01,False
Egypt,1800,2024-12-01,False
Norway,1795,2024-12-01,False
Tunisia,1790,2024-12-01,False
Scotland,1785,2024-12-01,False
Czech Republic,1780,2024-12-01,False
Paraguay,1775,2024-12-01,False
Côte d'Ivoire,1770,2024-12-01,False
Nigeria,1765,2024-12-01,False
Ghana,1755,2024-12-01,False
Wales,1750,2024-12-01,False
Chile,1745,2024-12-01,False
Panama,1735,2024-12-01,False
Saudi Arabia,1730,2024-12-01,False
Cameroon,1725,2024-12-01,False
Venezuela,1720,2024-12-01,False
Qatar,1710,2024-12-01,False
South Africa,1705,2024-12-01,False
Jamaica,1695,2024-12-01,False
Iraq,1690,2024-12-01,False
Uzbekistan,1685,2024-12-01,False
DR Congo,1680,2024-12-01,False
Jordan,1670,2024-12-01,False
Burkina Faso,1665,2024-12-01,False
Slovakia,1660,2024-12-01,False
Albania,1655,2024-12-01,False
Slovenia,1650,2024-12-01,False
Bosnia and Herzegovina,1645,2024-12-01,False
Ireland,1640,2024-12-01,False
Georgia,1635,2024-12-01,False
North Macedonia,1625,2024-12-01,False
Kosovo,1615,2024-12-01,False
Northern Ireland,1610,2024-12-01,False
Cabo Verde,1590,2024-12-01,False
New Zealand,1575,2024-12-01,False
Bolivia,1565,2024-12-01,False
Haiti,1540,2024-12-01,False
Curaçao,1510,2024-12-01,False
Suriname,1490,2024-12-01,False
New Caledonia,1420,2024-12-01,False
