rank,country_full,country_abrv,total_points,confederation,rank_date
1,Argentina,ARG,1867,CONMEBOL,2024-12-01
2,France,FRA,1859,UEFA,2024-12-01
3,Spain,SPA,1853,UEFA,2024-12-01
4,England,ENG,1813,UEFA,2024-12-01
5,Brazil,BRA,1775,CONMEBOL,2024-12-01
6,Belgium,BEL,1738,UEFA,2024-12-01
7,Netherlands,NET,1731,UEFA,2024-12-01
8,Portugal,POR,1727,UEFA,2024-12-01
9,Germany,GER,1708,UEFA,2024-12-01
10,Italy,ITA,1686,UEFA,2024-12-01
11,Croatia,CRO,1680,UEFA,2024-12-01
12,Colombia,COL,1671,CONMEBOL,2024-12-01
13,Morocco,MOR,1662,CAF,2024-12-01
14,Uruguay,URU,1658,CONMEBOL,2024-12-01
15,USA,USA,1645,CONCACAF,2024-12-01
16,Mexico,MEX,1632,CONCACAF,2024-12-01
17,Switzerland,SWI,1623,UEFA,2024-12-01
18,Japan,JAP,1620,AFC,2024-12-01
19,Senegal,SEN,1598,CAF,2024-12-01
20,Iran,IRA,1580,AFC,2024-12-01
21,South Korea,SOU,1575,AFC,2024-12-01
22,Austria,AUS,1569,UEFA,2024-12-01
23,Australia,AUS,1560,AFC,2024-12-01
24,Ukraine,UKR,1556,UEFA,2024-12-01
25,Poland,POL,1549,UEFA,2024-12-01
26,Turkey,TUR,1545,UEFA,2024-12-01
27,Ecuador,ECU,1540,CONMEBOL,2024-12-01
28,Denmark,DEN,1536,UEFA,2024-12-01
29,Algeria,ALG,1532,CAF,2024-12-01
30,Egypt,EGY,1528,CAF,2024-12-01
31,Serbia,SER,1520,UEFA,2024-12-01
32,Sweden,SWE,1515,UEFA,2024-12-01
33,Canada,CAN,1510,CONCACAF,2024-12-01
34,Norway,NOR,1505,UEFA,2024-12-01
35,Tunisia,TUN,1498,CAF,2024-12-01
36,Scotland,SCO,1492,UEFA,2024-12-01
37,Czech Republic,CZE,1488,UEFA,2024-12-01
38,Paraguay,PAR,1482,CONMEBOL,2024-12-01
39,Côte d'Ivoire,CÔT,1478,CAF,2024-12-01
40,Venezuela,VEN,1472,CONMEBOL,2024-12-01
41,Nigeria,NIG,1468,CAF,2024-12-01
42,Wales,WAL,1462,UEFA,2024-12-01
43,Romania,ROM,1458,UEFA,2024-12-01
44,Chile,CHI,1452,CONMEBOL,2024-12-01
45,Ghana,GHA,1445,CAF,2024-12-01
46,Panama,PAN,1438,CONCACAF,2024-12-01
47,Greece,GRE,1432,UEFA,2024-12-01
48,Saudi Arabia,SAU,1428,AFC,2024-12-01
49,Cameroon,CAM,1422,CAF,2024-12-01
50,Mali,MAL,1418,CAF,2024-12-01
51,Hungary,HUN,1412,UEFA,2024-12-01
52,Qatar,QAT,1405,AFC,2024-12-01
53,Peru,PER,1398,CONMEBOL,2024-12-01
54,South Africa,SOU,1392,CAF,2024-12-01
55,Ireland,IRE,1385,UEFA,2024-12-01
56,Jamaica,JAM,1378,CONCACAF,2024-12-01
57,Iraq,IRA,1372,AFC,2024-12-01
58,Uzbekistan,UZB,1365,AFC,2024-12-01
59,Slovenia,SLO,1358,UEFA,2024-12-01
60,Slovakia,SLO,1352,UEFA,2024-12-01
61,Albania,ALB,1345,UEFA,2024-12-01
62,DR Congo,DR ,1338,CAF,2024-12-01
63,Burkina Faso,BUR,1332,CAF,2024-12-01
64,Jordan,JOR,1325,AFC,2024-12-01
65,Costa Rica,COS,1318,CONCACAF,2024-12-01
66,Bosnia and Herzegovina,BOS,1312,UEFA,2024-12-01
67,Georgia,GEO,1305,UEFA,2024-12-01
68,United Arab Emirates,UNI,1298,AFC,2024-12-01
69,Iceland,ICE,1292,UEFA,2024-12-01
70,Northern Ireland,NOR,1285,UEFA,2024-12-01
71,Honduras,HON,1278,CONCACAF,2024-12-01
72,El Salvador,EL ,1272,CONCACAF,2024-12-01
73,Bolivia,BOL,1265,CONMEBOL,2024-12-01
74,Bahrain,BAH,1258,AFC,2024-12-01
75,Oman,OMA,1252,AFC,2024-12-01
76,Palestine,PAL,1245,AFC,2024-12-01
77,North Macedonia,NOR,1238,UEFA,2024-12-01
78,Finland,FIN,1232,UEFA,2024-12-01
79,Cabo Verde,CAB,1225,CAF,2024-12-01
80,New Zealand,NEW,1218,OFC,2024-12-01
81,Haiti,HAI,1205,CONCACAF,2024-12-01
82,Kosovo,KOS,1198,UEFA,2024-12-01
83,Curaçao,CUR,1180,CONCACAF,2024-12-01
84,Suriname,SUR,1165,CONCACAF,2024-12-01
85,New Caledonia,NEW,1120,OFC,2024-12-01
